,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-KMPL,highway-KMPL,price,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
0,3,122.0,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,8.928571428571429,11.479591836734695,13495.0,low,0,1,1,0
1,3,122.0,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,8.928571428571429,11.479591836734695,16500.0,low,0,1,1,0
2,1,122.0,alfa-romero,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,8.078231292517007,11.054421768707483,16500.0,medium,0,1,1,0
3,2,164.0,audi,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,10.204081632653061,12.755102040816327,13950.0,low,0,1,1,0
4,2,164.0,audi,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,7.653061224489797,9.35374149659864,17450.0,low,0,1,1,0
5,2,122.0,audi,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,8.078231292517007,10.629251700680273,15250.0,low,0,1,1,0
6,1,158.0,audi,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,8.078231292517007,10.629251700680273,17710.0,low,0,1,1,0
7,1,122.0,audi,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,8.078231292517007,10.629251700680273,18920.0,low,0,1,1,0
8,1,158.0,audi,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,7.227891156462586,8.503401360544219,23875.0,medium,0,1,0,1
9,2,192.0,bmw,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,9.77891156462585,12.329931972789117,16430.0,low,0,1,1,0
10,0,192.0,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,9.77891156462585,12.329931972789117,16925.0,low,0,1,1,0
11,0,188.0,bmw,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,8.928571428571429,11.904761904761905,20970.0,medium,0,1,1,0
12,0,188.0,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,8.928571428571429,11.904761904761905,21105.0,medium,0,1,1,0
13,1,122.0,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,8.503401360544219,10.629251700680273,24565.0,medium,0,1,1,0
14,0,122.0,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,6.802721088435375,9.35374149659864,30760.0,medium,0,1,1,0
15,0,122.0,bmw,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,6.802721088435375,9.35374149659864,41315.0,medium,0,1,1,0
16,0,122.0,bmw,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,6.377551020408164,8.503401360544219,36880.0,medium,0,1,1,0
17,2,121.0,chevrolet,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,19.982993197278912,22.53401360544218,5151.0,low,0,1,1,0
18,1,98.0,chevrolet,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,16.156462585034014,18.282312925170068,6295.0,low,0,1,1,0
19,0,81.0,chevrolet,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,16.156462585034014,18.282312925170068,6575.0,low,0,1,1,0
20,1,118.0,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,15.731292517006803,17.431972789115648,5572.0,low,0,1,1,0
21,1,118.0,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,6377.0,low,0,1,1,0
22,1,118.0,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,10.204081632653061,12.755102040816327,7957.0,low,0,1,0,1
23,1,148.0,dodge,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,6229.0,low,0,1,1,0
24,1,148.0,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,6692.0,low,0,1,1,0
25,1,148.0,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,13.180272108843537,16.156462585034014,7609.0,low,0,1,1,0
26,1,148.0,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,10.204081632653061,12.755102040816327,8558.0,low,0,1,0,1
27,-1,110.0,dodge,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,10.204081632653061,12.755102040816327,8921.0,low,0,1,1,0
28,3,145.0,dodge,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,8.078231292517007,10.204081632653061,12964.0,medium,0,1,0,1
29,2,137.0,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,20.833333333333336,22.95918367346939,6479.0,low,0,1,1,0
30,2,137.0,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,13.180272108843537,16.156462585034014,6855.0,low,0,1,1,0
31,1,101.0,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,16.156462585034014,17.857142857142858,5399.0,low,0,1,1,0
32,1,101.0,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,12.755102040816327,14.455782312925171,6529.0,low,0,1,1,0
33,1,101.0,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,12.755102040816327,14.455782312925171,7129.0,low,0,1,1,0
34,0,110.0,honda,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,12.755102040816327,14.455782312925171,7295.0,low,0,1,1,0
35,0,78.0,honda,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,12.755102040816327,14.455782312925171,7295.0,low,0,1,1,0
36,0,106.0,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,11.479591836734695,14.03061224489796,7895.0,low,0,1,1,0
37,0,106.0,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,11.479591836734695,14.03061224489796,9095.0,low,0,1,1,0
38,0,85.0,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,11.479591836734695,14.03061224489796,8845.0,low,0,1,1,0
39,0,85.0,honda,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,11.479591836734695,14.03061224489796,10295.0,low,0,1,1,0
40,0,85.0,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,10.204081632653061,11.904761904761905,12945.0,low,0,1,1,0
41,1,107.0,honda,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,10.629251700680273,13.180272108843537,10345.0,low,0,1,1,0
42,0,122.0,isuzu,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,10.204081632653061,12.329931972789117,6785.0,low,0,1,1,0
43,2,122.0,isuzu,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,10.204081632653061,12.329931972789117,11048.0,low,0,1,1,0
44,0,145.0,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,6.377551020408164,8.078231292517007,32250.0,medium,0,1,1,0
45,0,122.0,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,6.377551020408164,8.078231292517007,35550.0,medium,0,1,1,0
46,0,122.0,jaguar,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,5.5272108843537415,7.227891156462586,36000.0,high,0,1,1,0
47,1,104.0,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,12.755102040816327,13.180272108843537,5195.0,low,0,1,1,0
48,1,104.0,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,13.180272108843537,16.156462585034014,6095.0,low,0,1,1,0
49,1,104.0,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,13.180272108843537,16.156462585034014,6795.0,low,0,1,1,0
